total_time;spawn_time;image_time;instance_time;concurrent_instances
17139;10084;1600;5047;10
17453;9819;1969;4823;10
17312;9984;1922;4786;10
17514;10282;1325;5252;10
17728;9936;1633;4903;10
17983;10230;1651;5065;10
18019;11651;2267;5188;10
18139;10331;1055;5443;10
17968;9758;2017;4686;10
17988;10147;2104;5052;10
total_time;spawn_time;image_time;instance_time;concurrent_instances
15819;9082;2410;3810;10
15978;9805;1849;4611;10
16449;9755;1870;4372;10
16646;9214;2266;3977;10
16650;9898;1784;4721;10
16692;9862;2229;4202;10
16681;9247;2012;3987;10
16847;9675;2041;4063;10
16677;9112;2364;3881;10
16881;10111;2752;4381;10
total_time;spawn_time;image_time;instance_time;concurrent_instances
15801;9888;2316;4484;10
15935;10003;2408;4307;10
15869;9857;2489;4208;10
15889;8805;2176;3999;10
16262;10047;2206;4483;10
16266;8763;1888;4150;10
16412;9739;2548;4196;10
16546;8820;1755;4111;10
16652;8629;2187;3896;10
16525;8467;2075;3888;10
total_time;spawn_time;image_time;instance_time;concurrent_instances
17572;11078;1808;5739;10
17893;11014;2076;5500;10
17941;10407;1760;5244;10
17838;11057;2575;4966;10
17963;11260;2013;5535;10
17891;10292;1924;5073;10
18025;11171;2271;5308;10
17908;10394;1192;5592;10
17974;10117;2139;4940;10
18079;10214;2082;5027;10
total_time;spawn_time;image_time;instance_time;concurrent_instances
16073;7874;1812;2926;10
16523;9946;2357;5160;10
16670;10053;2275;5232;10
16687;9959;2104;5204;10
16885;10562;2315;5201;10
16876;11217;3220;5245;10
16904;10437;1990;5336;10
16897;9923;1746;5149;10
16976;10093;1123;5705;10
17444;10754;3028;5123;10
total_time;spawn_time;image_time;instance_time;concurrent_instances
16430;10031;1953;4656;10
16983;9874;1370;4879;10
17134;9651;2200;4303;10
17159;10288;2240;4825;10
17345;9431;2259;4174;10
17436;10173;2316;4479;10
17556;10093;2599;4319;10
17419;10112;3308;4140;10
17422;9331;2341;4177;10
17627;10373;2607;4451;10
total_time;spawn_time;image_time;instance_time;concurrent_instances
15438;8510;2778;3747;10
15391;8794;2797;3816;10
15629;9029;2664;3887;10
15533;9162;2794;3937;10
15733;9136;2551;3945;10
15773;9048;3466;3795;10
15614;8595;2908;3820;10
15866;8892;2199;3839;10
16085;8764;2004;4023;10
16373;8497;3134;3757;10
total_time;spawn_time;image_time;instance_time;concurrent_instances
27763;14963;2221;2300;20
30981;19213;2023;9343;20
31182;18820;2177;9009;20
31370;15503;2633;4725;20
31543;19454;1978;9422;20
31604;18983;2186;9084;20
31771;18403;3332;8219;20
32112;18414;3408;8324;20
32366;19315;2376;9311;20
31952;17240;3792;7999;20
32281;17319;3751;7852;20
32457;19142;2936;9110;20
32427;17957;3714;8062;20
32717;19142;3026;8687;20
32524;18714;3258;8597;20
32920;19479;2585;9240;20
32600;18945;3140;8581;20
32704;17837;3826;8032;20
33016;18137;3483;8259;20
32965;18019;3573;8116;20
total_time;spawn_time;image_time;instance_time;concurrent_instances
30147;19657;1690;9882;20
31692;19436;2274;9745;20
31844;15790;2385;3029;20
31735;19327;2510;9505;20
32045;15470;2205;5264;20
32147;19506;1914;9817;20
32113;14204;1088;5143;20
32131;19100;3528;9035;20
32131;18399;4099;8686;20
32067;18509;3938;8693;20
32132;18301;4133;8691;20
32302;19023;3521;8998;20
32307;19581;3426;9236;20
32330;18347;4263;8605;20
32936;19708;2756;9488;20
32821;19901;2991;9723;20
32603;19237;3707;9032;20
32742;18837;3900;8844;20
32934;19722;3213;9599;20
32850;19046;3754;8973;20
total_time;spawn_time;image_time;instance_time;concurrent_instances
27299;13668;2355;3389;20
31844;21718;2414;11413;20
32636;21027;1802;11204;20
32714;20632;1444;11336;20
33091;18782;3616;9139;20
32824;19156;3333;9350;20
33378;19969;1923;10204;20
32849;18690;3745;9100;20
33278;19215;3096;9331;20
33353;19898;2392;10123;20
33239;19502;2945;9719;20
33017;18383;3888;8967;20
33150;18828;3450;9165;20
33523;20179;1667;10602;20
33509;19672;2491;9931;20
33453;18237;3997;8979;20
33809;19963;2175;10129;20
33692;18408;3902;8987;20
33611;19755;2822;9828;20
33627;19050;3381;9259;20
total_time;spawn_time;image_time;instance_time;concurrent_instances
26137;17642;2343;2085;20
29874;16833;3505;8302;20
29728;17207;3136;8559;20
29320;18659;1292;7169;20
29520;18150;1579;9246;20
29891;17791;2513;8908;20
29970;18060;1947;9135;20
29864;17387;3155;8672;20
29969;19776;1790;7555;20
29658;17148;3323;8404;20
29863;16227;4045;8276;20
30004;16987;3406;8458;20
30367;17997;2068;9104;20
30100;17655;2792;8835;20
30174;17837;2262;8944;20
30067;16948;3603;8383;20
30445;17546;2931;8759;20
30639;16618;3953;8396;20
30460;16979;4085;8648;20
31132;16973;3874;8453;20
total_time;spawn_time;image_time;instance_time;concurrent_instances
21856;11489;2008;1876;20
23630;10956;850;1886;20
31154;19392;1642;9774;20
31566;19442;1429;2912;20
32077;19174;2222;9290;20
32353;19286;2020;9294;20
32214;19408;2797;9153;20
32383;19400;2546;9391;20
32272;18398;4050;8636;20
32505;18471;3793;8701;20
32891;19509;2996;9234;20
32731;17931;4230;8551;20
32997;19146;3292;8918;20
32729;18374;3960;8512;20
32987;19315;3105;9015;20
33158;18965;3637;8829;20
33151;17981;4147;8517;20
33205;19142;3432;8945;20
33399;19065;3490;8956;20
33115;18157;4211;8522;20
